Time,q1,q2,q3,qdot1,qdot2,qdot3
0.000000,0.000000,0.000000,0.000000,1.000000,-0.500000,0.330000
0.100000,0.100000,0.050000,0.033333,1.000000,-0.500000,0.330000
0.200000,0.200000,0.100000,0.066667,1.000000,-0.500000,0.330000
0.300000,0.300000,0.150000,0.100000,1.000000,-0.500000,0.330000
0.400000,0.400000,0.200000,0.133333,1.000000,-0.500000,0.330000
0.500000,0.500000,0.250000,0.166667,1.000000,-0.500000,0.330000
0.600000,0.600000,0.300000,0.200000,1.000000,-0.500000,0.330000
0.700000,0.700000,0.350000,0.233333,1.000000,-0.500000,0.330000
0.800000,0.800000,0.400000,0.266667,1.000000,-0.500000,0.330000
0.900000,0.900000,0.450000,0.300000,1.000000,-0.500000,0.330000
1.000000,1.000000,0.500000,0.333333,1.000000,-0.500000,0.330000
1.100000,1.100000,0.550000,0.366667,1.000000,-0.500000,0.330000
1.200000,1.200000,0.600000,0.400000,1.000000,-0.500000,0.330000
1.300000,1.300000,0.650000,0.433333,1.000000,-0.500000,0.330000
1.400000,1.400000,0.700000,0.466667,1.000000,-0.500000,0.330000
1.500000,1.500000,0.750000,0.500000,1.000000,-0.500000,0.330000
1.600000,1.600000,0.800000,0.533333,1.000000,-0.500000,0.330000
1.700000,1.700000,0.850000,0.566667,1.000000,-0.500000,0.330000
1.800000,1.800000,0.900000,0.600000,1.000000,-0.500000,0.330000
1.900000,1.900000,0.950000,0.633333,1.000000,-0.500000,0.330000
2.000000,2.000000,1.000000,0.666667,1.000000,-0.500000,0.330000
2.100000,2.100000,1.050000,0.700000,1.000000,-0.500000,0.330000
2.200000,2.200000,1.100000,0.733333,1.000000,-0.500000,0.330000
2.300000,2.300000,1.150000,0.766667,1.000000,-0.500000,0.330000
2.400000,2.400000,1.200000,0.800000,1.000000,-0.500000,0.330000
2.500000,2.500000,1.250000,0.833333,1.000000,-0.500000,0.330000
2.600000,2.600000,1.300000,0.866667,1.000000,-0.500000,0.330000
2.700000,2.700000,1.350000,0.900000,1.000000,-0.500000,0.330000
2.800000,2.800000,1.400000,0.933333,1.000000,-0.500000,0.330000
2.900000,2.900000,1.450000,0.966667,1.000000,-0.500000,0.330000
3.000000,3.000000,1.500000,1.000000,1.000000,-0.500000,0.330000
3.100000,3.100000,1.550000,1.033333,1.000000,-0.500000,0.330000
3.200000,3.200000,1.600000,1.066667,1.000000,-0.500000,0.330000
3.300000,3.300000,1.650000,1.100000,1.000000,-0.500000,0.330000
3.400000,3.400000,1.700000,1.133333,1.000000,-0.500000,0.330000
3.500000,3.500000,1.750000,1.166667,1.000000,-0.500000,0.330000
3.600000,3.600000,1.800000,1.200000,1.000000,-0.500000,0.330000
3.700000,3.700000,1.850000,1.233333,1.000000,-0.500000,0.330000
3.800000,3.800000,1.900000,1.266667,1.000000,-0.500000,0.330000
3.900000,3.900000,1.950000,1.300000,1.000000,-0.500000,0.330000
4.000000,4.000000,2.000000,1.333333,1.000000,-0.500000,0.330000
4.100000,4.100000,2.050000,1.366667,1.000000,-0.500000,0.330000
4.200000,4.200000,2.100000,1.400000,1.000000,-0.500000,0.330000
4.300000,4.300000,2.150000,1.433333,1.000000,-0.500000,0.330000
4.400000,4.400000,2.200000,1.466667,1.000000,-0.500000,0.330000
4.500000,4.500000,2.250000,1.500000,1.000000,-0.500000,0.330000
4.600000,4.600000,2.300000,1.533333,1.000000,-0.500000,0.330000
4.700000,4.700000,2.350000,1.566667,1.000000,-0.500000,0.330000
4.800000,4.800000,2.400000,1.600000,1.000000,-0.500000,0.330000
4.900000,4.900000,2.450000,1.633333,1.000000,-0.500000,0.330000
5.000000,5.000000,2.500000,1.666667,1.000000,-0.500000,0.330000
5.100000,5.100000,2.550000,1.700000,1.000000,-0.500000,0.330000
5.200000,5.200000,2.600000,1.733333,1.000000,-0.500000,0.330000
5.300000,5.300000,2.650000,1.766667,1.000000,-0.500000,0.330000
5.400000,5.400000,2.700000,1.800000,1.000000,-0.500000,0.330000
5.500000,5.500000,2.750000,1.833333,1.000000,-0.500000,0.330000
5.600000,5.600000,2.800000,1.866667,1.000000,-0.500000,0.330000
5.700000,5.700000,2.850000,1.900000,1.000000,-0.500000,0.330000
5.800000,5.800000,2.900000,1.933333,1.000000,-0.500000,0.330000
5.900000,5.900000,2.950000,1.966667,1.000000,-0.500000,0.330000
6.000000,6.000000,3.000000,2.000000,1.000000,-0.500000,0.330000
6.100000,6.100000,3.050000,2.033333,1.000000,-0.500000,0.330000
6.200000,6.200000,3.100000,2.066667,1.000000,-0.500000,0.330000
6.300000,6.300000,3.150000,2.100000,1.000000,-0.500000,0.330000
